Etiqueta,Tupla,Longitud,Latitud,ND,NDC,NiDC,NoDC,NBC,NCC,NLRC,NKC,NCCO,NCCW,KNN,KNNW
v2759,32.45923465613:-116.83960497916,-116.83960497916,32.45923465613,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.002015071045912082,0.013952358979104835,1.0,0.013952358979104835,0.0,0.0,2.0,2.0
v2760,32.45821169435:-116.83881640971,-116.83881640971,32.45821169435,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0033591557157037163,0.015520044324698733,1.0,0.015520044324698733,0.0,0.0,1.5,1.5925634102524884
v2761,32.45736072614:-116.83924019873,-116.83924019873,32.45736072614,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0022401411163193905,0.015678397598976764,1.0,0.015678397598976764,0.0,0.0,2.0,2.0
v2762,32.45710610969:-116.8397431089,-116.8397431089,32.45710610969,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0017925151630651768,0.015694247419658216,1.0,0.015694247419658216,0.0,0.0,2.0,2.0
v2763,32.4560684137:-116.83919728071,-116.83919728071,32.4560684137,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.001344688074806131,0.015694394009714598,1.0,0.015694394009714598,0.0,0.0,2.0,2.0
v2764,32.45517215968:-116.84112310678,-116.84112310678,32.45517215968,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.000896659851542253,0.0156800103532933,1.0,0.0156800103532933,0.0,0.0,2.0,2.0
v2765,32.45403145984:-116.84169709951,-116.84169709951,32.45403145984,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0004484304932735426,0.015536026659074288,1.0,0.015536026659074288,0.0,0.0,1.5,1.30529733662297
v2766,32.45280700435:-116.84469581187,-116.84469581187,32.45280700435,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.0,0.014110571389304364,1.0,0.014110571389304364,0.0,0.0,2.0,2.0
v2767,32.45881596516:-116.839047077,-116.839047077,32.45881596516,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.002015071045912082,0.01410897326385674,1.0,0.01410897326385674,0.0,0.0,1.0,1.0
v2768,32.45907170498:-116.83885932237,-116.83885932237,32.45907170498,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.002015071045912082,0.013967866245671324,1.0,0.013967866245671324,0.0,0.0,1.0,1.0
v2769,32.46528165963:-116.81937843829,-116.81937843829,32.46528165963,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.01395220190397932,1.0,0.01395220190397932,0.0,0.0,1.0,1.0
v2770,32.46567542512:-116.81933820516,-116.81933820516,32.46567542512,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952189208883638,1.0,0.013952189208883638,0.0,0.0,1.0,1.0
v2771,32.46692686377:-116.82024747401,-116.82024747401,32.46692686377,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187940629766,1.0,0.013952187940629766,0.0,0.0,1.0,1.0
