,Arista,Angulo1,Angulo2,Dist
1844,"('v1181', 'v1180')",-133.66039875928166,46.33930339231537,72.04785071428505
1845,"('v1180', 'v1179')",-159.61473092175683,20.384921482330185,174.63527706014835
1846,"('v1179', 'v1095')",-71.68885530070612,108.31011736952495,189.37797508696286
1847,"('v1095', 'v1159')",-71.68026002404658,108.31854131965497,220.96622899209314
1848,"('v1159', 'v1092')",-159.0364772429811,20.96348458062434,18.673567153991588
1849,"('v1092', 'v1093')",108.83009855712592,-71.16908755925706,150.48636481870798
1850,"('v1093', 'v1175')",-161.9173722647203,18.082357677681244,152.2698900940849
1851,"('v1175', 'v1174')",109.72968829252534,-70.2699119645435,74.32377431404493
1852,"('v1174', 'v1173')",-163.00847805205157,16.98927798905399,1344.277404006256
1853,"('v1173', 'v1172')",-138.11763013304636,41.88057275943777,471.3653145743953
1854,"('v1172', 'v1171')",-114.29591882079927,65.70181478272092,435.46146205946303
1855,"('v1171', 'v1170')",148.5532056877452,-31.446029767350694,256.6527659266361
1856,"('v1170', 'v1169')",80.96483910519552,-99.03370094446981,258.9032617493411
1857,"('v1169', 'v1164')",-169.12453812020817,10.875345979529556,107.58592765134573
1858,"('v1164', 'v1168')",-169.48956942227505,10.510267887973782,156.2091588580467
1859,"('v1168', 'v1167')",146.4381985268056,-33.561034847806724,242.8960061645731
1860,"('v1167', 'v1166')",59.70413036025041,-120.29519156642903,137.55813913698074
1861,"('v1166', 'v1165')",-14.864486643895681,165.13533195687938,123.85492932279817
1862,"('v1165', 'v1164')",-49.11683392329828,130.8820654007332,254.98295678303887
1863,"('v1274', 'v1275')",111.407891193605,-68.59182391923387,53.64251277077061
1864,"('v1275', 'v1276')",169.12619675531207,-10.87365360987701,139.05506222002074
1865,"('v1276', 'v1277')",141.35691017121275,-38.64287689177627,59.780042771150754
1866,"('v1277', 'v1278')",-170.25390500980518,9.74603744040229,59.60120164045553
1867,"('v1278', 'v1279')",-95.24865458079492,84.75097134855318,65.8574725738214
1868,"('v1279', 'v1280')",-47.02492465825734,132.97480485860453,64.81257892261497
1869,"('v1280', 'v1281')",-103.97166929601121,76.02803144490119,54.06438954966551
1870,"('v1281', 'v1282')",-63.11983579500709,116.87923764485872,182.11485577278086
1871,"('v1282', 'v1283')",-40.02295119719972,139.9766387496905,111.78072310805162
1872,"('v1283', 'v1284')",53.727585432039746,-126.27119300033208,265.6129822815624
1873,"('v1284', 'v1285')",45.7317920235499,-134.26729860431305,222.60667296946175
1874,"('v1285', 'v1286')",13.33275905052094,-166.66713302479306,82.03365217083986
1875,"('v1286', 'v1287')",55.84687922384227,-124.15252864598929,125.41776257546181
1876,"('v1287', 'v1288')",-10.251289772134133,169.74857496304298,133.2180348488279
1877,"('v1288', 'v1289')",19.86170244427892,-160.1380443379939,130.6257788246298
1878,"('v1289', 'v1290')",11.199917317108754,-168.8000027671315,72.10935025416948
1879,"('v1290', 'v1291')",-19.980434653672138,160.0189810608719,299.6622037381597
1880,"('v1291', 'v1292')",-58.01516477878111,121.98434841654293,100.57569666668401
1881,"('v1292', 'v1293')",-14.559685991086475,165.44023449370874,55.427778332269966
1882,"('v1293', 'v1294')",-5.2931350514481625,174.70677643219653,168.13360122877154
1883,"('v1294', 'v1295')",32.43121283824781,-147.56847771291584,101.106244065134
1884,"('v1295', 'v1296')",78.02594016865265,-101.97341141859094,116.14074761393665
1885,"('v1296', 'v1297')",20.68027924573189,-159.31912269561641,296.7099072698908
1886,"('v1297', 'v1298')",-47.45670274879534,132.5428351921929,109.87436555014466
1887,"('v1298', 'v1299')",-100.8196444270842,79.17904388556703,233.96418705563772
1888,"('v1299', 'v1300')",-48.106176502461636,131.89315595087334,157.11085344214337
1889,"('v1300', 'v1301')",-18.908373788097975,161.0911079865138,280.1489572744908
1890,"('v1301', 'v1302')",-69.98376181415733,110.01585670215887,71.1227168719787
1891,"('v1302', 'v1303')",-161.75265280693074,18.24713558018206,118.38985810243511
1892,"('v1303', 'v1304')",-56.64942087506073,123.34995436049066,131.02199735890676
1893,"('v1304', 'v1305')",-27.295120087104763,152.7042263388519,249.65606632843438
1894,"('v1305', 'v1306')",-53.6063264048429,126.3933280807413,75.1852460931422
1895,"('v1306', 'v1307')",-31.34792112005227,148.65169484518367,129.30027010659398
1896,"('v1307', 'v1308')",9.116104722522937,-170.8836436829815,278.12694134172943
1897,"('v1308', 'v1309')",-75.80869683600848,104.1898468084706,263.08803625468
1898,"('v1309', 'v1310')",-100.05560241184301,79.94349662961194,160.25102820463331
1899,"('v1310', 'v1311')",-127.34202051100442,52.65768181041821,65.57571138101697
1900,"('v1311', 'v1312')",-110.48452568221083,69.51498911244728,90.71469368961135
1901,"('v1312', 'v1313')",-80.87262156787799,99.12700304123724,66.58892837925758
1902,"('v1313', 'v1314')",-18.307749823252323,161.69097259300995,712.2142094456024
1903,"('v1314', 'v1315')",-71.30853096584141,108.6910327065217,80.65358380644984
1904,"('v1315', 'v1316')",-39.45694366064331,140.5428345734714,61.10175609614821
1905,"('v1316', 'v1317')",-5.713326859331128,174.286526611284,257.7057526122258
1906,"('v1317', 'v1318')",-80.33789053423693,99.66175483132801,62.982035212145284
1907,"('v1318', 'v1319')",-153.37999450298065,26.619109763539484,350.01976092537643
1908,"('v1319', 'v1320')",-102.81547003709098,77.18432835887444,36.20205073331438
1909,"('v1320', 'v1321')",-47.51923069306687,132.48017456860717,141.19884111349117
1910,"('v1321', 'v1322')",-16.68219990575744,163.31775113198134,29.8638681506331
1911,"('v1322', 'v1323')",21.124383736814167,-158.87470753177166,441.4468797410382
1912,"('v1323', 'v1324')",-2.135203786053088,177.86478181164466,67.67173696120045
1913,"('v1324', 'v1325')",-47.43927453539377,132.56030635061487,99.61045195946298
1914,"('v1325', 'v1326')",-8.271392774991359,171.72855825559665,59.58685952363588
1915,"('v1326', 'v682')",38.35863219214033,-141.64098911344712,106.81952727984134
1916,"('v682', 'v683')",49.90820831766864,-130.09089568540983,205.01271591888982
1917,"('v683', 'v684')",56.20601450349587,-123.79249900874287,313.0815066927428
1918,"('v684', 'v685')",33.958381163770014,-146.0400485095458,492.0021427445514
1919,"('v685', 'v686')",38.808568949887444,-141.18937542406516,573.9520321111544
1920,"('v686', 'v687')",66.06343425143498,-113.93379082734867,531.211075088068
1921,"('v687', 'v688')",72.57784302903906,-107.42122476265318,170.9431583807346
1922,"('v688', 'v689')",58.30272383709725,-121.69661553779544,135.84490617466764
1923,"('v689', 'v690')",47.93904525550305,-132.06044539930153,120.02667379628949
1924,"('v690', 'v33')",30.78579027293677,-149.2136283191248,198.72708214946482
1925,"('v33', 'v32')",-50.593189781229874,129.40607100444038,167.36522369188353
1926,"('v32', 'v31')",-71.49649601153126,108.50211416725922,256.3774759429823
1927,"('v31', 'v30')",34.39492926868129,-145.60298454771674,645.9488840427348
1928,"('v30', 'v49')",124.59689979629233,-55.40210201842558,212.08932854685438
